Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	CD
the jitters	The Dismemberment Plan		A Peoples History Of			5986630	249			11	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:11thejitters.mp3	242
superpowers	The Dismemberment Plan		A Peoples History Of			4493262	187			12	12	2003	11/5/03 8:48 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		iTS				MP3Vol242:The Dismemberment Plan:A Peoples History Of:12superpowers.mp3	242
split lip	Tim Kasher		Acoustic Set		genre	2841373	177			1			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:01splitlip.mp3	242
the ghosts of cars, I wish I was in one	Tim Kasher		Acoustic Set		genre	3887525	242			2			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:02theghostsofcarsIwishIwasi.mp3	242
splitting up	Tim Kasher		Acoustic Set		genre	3691084	230			3			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:03splittingup.mp3	242
2 am	Tim Kasher		Acoustic Set		genre	3805605	237			4			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:042am.mp3	242
Valentine (?)	Tim Kasher		Acoustic Set		genre	3935172	245			5			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:05Valentine.mp3	242
new years day	Tim Kasher		Acoustic Set		genre	2306385	144			6			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:06newyearsday.mp3	242
goodbye calcutta	Tim Kasher		Acoustic Set		genre	3747926	234			7			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:07goodbyecalcutta.mp3	242
absolute zero	Tim Kasher		Acoustic Set		genre	2812952	175			8			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:08absolutezero.mp3	242
split identities	Tim Kasher		Acoustic Set		genre	2664576	166			9			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:09splitidentities.mp3	242
happy birthday	Tim Kasher		Acoustic Set		genre	3734552	233			10			11/5/03 8:40 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Tim Kasher:Acoustic Set:10happybirthday.mp3	242
01 Can We Be Mature	The Dismemberment Plan		Can We Be Mature		<Unknown>	8806506	220			1	3		11/5/03 8:48 AM	1/23/04 12:34 PM	320	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Can We Be Mature:0101CanWeBeMature.mp3	242
02 Wouldnt You Like To Know	The Dismemberment Plan		Can We Be Mature		<Unknown>	6801416	170			2	3		11/5/03 8:48 AM	1/23/04 12:34 PM	320	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Can We Be Mature:0202WouldntYouLikeToKnow.mp3	242
03 If I Dont Write	The Dismemberment Plan		Can We Be Mature		<Unknown>	10705184	267			3	3		11/5/03 8:48 AM	1/23/04 12:34 PM	320	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Can We Be Mature:0303IfIDontWrite.mp3	242
Sentimental Man	The Dismemberment Plan		Change		Rock	6206736	258			1		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:01SentimentalMan.mp3	242
The Face of the Earth	The Dismemberment Plan		Change		Rock	6920825	288			2		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:02TheFaceoftheEarth.mp3	242
Superpowers	The Dismemberment Plan		Change		Rock	6968462	290			3		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:03Superpowers.mp3	242
Pay for the Piano	The Dismemberment Plan		Change		Rock	4938440	205			4		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:04PayforthePiano.mp3	242
Come Home	The Dismemberment Plan		Change		Rock	7377224	307			5		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:05ComeHome.mp3	242
Secret Curse	The Dismemberment Plan		Change			4140815	172			6	11	2001	11/5/03 8:49 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		Ming*nuhs				MP3Vol242:The Dismemberment Plan:Change:06SecretCurse.mp3	242
Automatic	The Dismemberment Plan		Change		Rock	6201087	258			7		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:07Automatic.mp3	242
Following Through	The Dismemberment Plan		Change		Rock	6740889	280			8		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:08FollowingThrough.mp3	242
Time Bomb	The Dismemberment Plan		Change		Rock	6397946	266			9		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:09TimeBomb.mp3	242
The Other Side	The Dismemberment Plan		Change		Rock	5457543	227			10		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Dismemberment Plan:Change:10TheOtherSide.mp3	242
Ellen & Ben	The Dismemberment Plan		Change		Indie	7240785	301			11		2001	11/5/03 8:39 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		Ming*nuhs				MP3Vol242:The Dismemberment Plan:Change:11EllenBen.mp3	242
Jellybelly	Smashing Pumpkins		Gravity Demos		AlternRock	2952551	184			1	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:01Jellybelly.mp3	242
Beautiful One (Ugly)	Smashing Pumpkins		Gravity Demos		AlternRock	2894043	180			2	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:02BeautifulOneUgly.mp3	242
Bullet With Butterfly Wings	Smashing Pumpkins		Gravity Demos		AlternRock	3775083	235			3	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:03BulletWithButterflyWings.mp3	242
Weeping Willowly	Smashing Pumpkins		Gravity Demos		AlternRock	412623	102			4	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	32	32000		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:04WeepingWillowly.mp3	242
To Forgive Nothing Less	Smashing Pumpkins		Gravity Demos		AlternRock	4782032	239			5	29		1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:05ToForgiveNothingLess.mp3	242
Blast	Smashing Pumpkins		Gravity Demos		AlternRock	5065478	253			6	29		1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:06Blast.mp3	242
Descendo	Smashing Pumpkins		Gravity Demos		AlternRock	3784698	236			7	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file		that is where the track ends.				MP3Vol242:Smashing Pumpkins:Gravity Demos:07Descendo.mp3	242
A/Ab/E/B/F#	Smashing Pumpkins		Gravity Demos		AlternRock	1977876	164			9	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	96	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:09AAbEBF.mp3	242
Dizzle	Smashing Pumpkins		Gravity Demos			2079227	129			9	29	2000	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:09Dizzle.mp3	242
Rings	Smashing Pumpkins		Gravity Demos		AlternRock	3765477	235			10	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:10Rings.mp3	242
So So Pretty	Smashing Pumpkins		Gravity Demos		AlternRock	3074174	192			11	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:11SoSoPretty.mp3	242
Straight Ab (Love)	Smashing Pumpkins		Gravity Demos		AlternRock	4495454	224			13	29		1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:13StraightAbLove.mp3	242
With Longing	Smashing Pumpkins		Gravity Demos			3169687	198			13	29	2000	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:13WithLonging.mp3	242
Set the ray to Jerry	Smashing Pumpkins		Gravity Demos		AlternRock	3077180	153			14	29		1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:14SettheraytoJerry.mp3	242
The Innocents	Smashing Pumpkins		Gravity Demos		AlternRock	3970281	248			15	29	2000	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:15TheInnocents.mp3	242
A Drone	Smashing Pumpkins		Gravity Demos		AlternRock	3620038	226			16	29		1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:16ADrone.mp3	242
Lucky Lad	Smashing Pumpkins		Gravity Demos		AlternRock	2580444	161			17	29		1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:17LuckyLad.mp3	242
Jackboot	Smashing Pumpkins		Gravity Demos		AlternRock	4860831	303			18	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:18Jackboot.mp3	242
New Wave A To G	Smashing Pumpkins		Gravity Demos		AlternRock	3958316	197			19	29		1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:19NewWaveAToG.mp3	242
A/B/G Drop A	Smashing Pumpkins		Gravity Demos		AlternRock	2147463	178			20	29	2000	1/8/04 12:08 PM	1/23/04 12:34 PM	96	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:20ABGDrop.mp3	242
Glamey Glamey (Marquis In Spades)	Smashing Pumpkins		Gravity Demos		AlternRock	4974128	248			21	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:21GlameyGlameyMarquisInSpad.mp3	242
Tonite Tonite (in C)	Smashing Pumpkins		Gravity Demos		AlternRock	2027484	126			23	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:23ToniteToniteinC.mp3	242
Walking Country	Smashing Pumpkins		Gravity Demos		AlternRock	2428928	151			23		2000	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:23WalkingCountry.mp3	242
The Groover	Smashing Pumpkins		Gravity Demos		AlternRock	5005027	312			24	29	1994	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:24TheGroover.mp3	242
Germans In Leather Pants	Smashing Pumpkins		Gravity Demos		AlternRock	2832384	176			26	29	2000	1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:26GermansInLeatherPants.mp3	242
Pretty Drop A (Millieu)	Smashing Pumpkins		Gravity Demos		AlternRock	1562715	97			26	29		1/8/04 12:08 PM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:26PrettyDropAMillieu.mp3	242
EDroneE-C-A	Smashing Pumpkins		Gravity Demos			3407606	170			27	29		1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:27EDroneE-C-.mp3	242
Disconnected (TAFH)	Smashing Pumpkins		Gravity Demos		AlternRock	4873916	243			28	29	2000	1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:28DisconnectedTAFH.mp3	242
And I Stumbled Onto You (Pennies)	Smashing Pumpkins		Gravity Demos		AlternRock	2672630	133			29	29		1/8/04 12:08 PM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Smashing Pumpkins:Gravity Demos:29AndIStumbledOntoYouPennie.mp3	242
Lines In The Suit	Spoon		Live and Acoustic		genre	2878258	143			1			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:01LinesInTheSuit.mp3	242
Waiting For The Kid To Come Out	Spoon		Live and Acoustic		genre	2856837	142			2			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:02WaitingForTheKidToComeOut.mp3	242
Agony Of Laffitte	Spoon		Live and Acoustic		genre	3318682	165			3			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:03AgonyOfLaffitte.mp3	242
Used To	Spoon		Live and Acoustic		genre	2929980	146			4			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:04UsedTo.mp3	242
Metal Detektor	Spoon		Live and Acoustic		genre	2742943	137			5			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:05MetalDetektor.mp3	242
Fitted Shirt	Spoon		Live and Acoustic		genre	3466013	173			6			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:06FittedShirt.mp3	242
I Wanted To Be Your Friend	Spoon		Live and Acoustic		genre	2502094	124			7			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:07IWantedToBeYourFriend.mp3	242
Anything You Want	Spoon		Live and Acoustic		genre	2826013	141			8			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:08AnythingYouWant.mp3	242
Advanced Cassette	Spoon		Live and Acoustic		genre	3405409	170			9			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:09AdvancedCassette.mp3	242
Set Me Free	Spoon		Live and Acoustic		genre	2806682	140			10			11/5/03 8:39 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:Spoon:Live and Acoustic:10SetMeFree.mp3	242
Farewell Transmission	Songs: Ohia		Magnolia Electric Co.		Other	7075840	442			1			11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Songs- Ohia:Magnolia Electric Co.:01FarewellTransmission.mp3	242
I've Been Riding With The Ghost	Songs: Ohia		Magnolia Electric Co.		Other	3211264	200			2			11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Songs- Ohia:Magnolia Electric Co.:02IveBeenRidingWithTheGhost.mp3	242
Just Be Simple	Songs: Ohia		Magnolia Electric Co.		Other	2015232	125			3			11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Songs- Ohia:Magnolia Electric Co.:03JustBeSimple.mp3	242
Hold On Magnolia	Songs: Ohia		Magnolia Electric Co.		Other	7540736	471			8			11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:Songs- Ohia:Magnolia Electric Co.:08HoldOnMagnolia.mp3	242
Afternoon Speaker	The Sea and Cake		Oui			4142020	258			1			1/2/04 11:01 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:01AfternoonSpeaker.mp3	242
All The Photos	The Sea and Cake		Oui		Rock	3187356	199			2		2000	1/2/04 11:03 AM	1/23/04 12:34 PM	128	44100		MPEG audio file		Thrill Jockey Records				MP3Vol242:The Sea and Cake:Oui:02AllThePhotos.mp3	242
You Beautiful Bastard	The Sea and Cake		Oui			5677594	354			3			1/2/04 11:06 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:03YouBeautifulBastard.mp3	242
He Colony Room	The Sea and Cake		Oui			4012868	250			4			1/2/04 11:09 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:04HeColonyRoom.mp3	242
The Leaf	The Sea and Cake		Oui			4231041	264			5			1/2/04 11:11 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:05TheLeaf.mp3	242
Everyday	The Sea and Cake		Oui			2909867	181			6			1/2/04 11:13 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:06Everyday.mp3	242
Two Dolphins	The Sea and Cake		Oui			3615811	225			7			1/2/04 11:14 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:07TwoDolphins.mp3	242
Midtown	The Sea and Cake		Oui			2824599	176			8			1/2/04 11:16 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:08Midtown.mp3	242
Seemingly	The Sea and Cake		Oui			4591321	286			9			1/2/04 11:18 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:09Seemingly.mp3	242
I Missed The Glance	The Sea and Cake		Oui			3870755	241			10			1/2/04 11:21 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:10IMissedTheGlance.mp3	242
Props Of Upper Class	The Sea and Cake		Oui			5386480	224			11			1/2/04 11:25 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:11PropsOfUpperClass.mp3	242
Pitch Direct	The Sea and Cake		Oui		Rock	4916899	204			12		2000	1/2/04 11:28 AM	1/23/04 12:34 PM	192	44100		MPEG audio file						MP3Vol242:The Sea and Cake:Oui:12PitchDirect.mp3	242
What Ever Happened	The Strokes		Room On Fire		Indie-Rock	3547290	177			1		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:01WhatEverHappened.mp3	242
Reptilia	The Strokes		Room On Fire		Indie-Rock	4454796	222			2		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:02Reptilia.mp3	242
Automatic Stop	The Strokes		Room On Fire		Indie-Rock	4160663	207			3		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:03AutomaticStop.mp3	242
12-51	The Strokes		Room On Fire		Indie-Rock	2933944	146			4		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:0412-51.mp3	242
You Talk Way Too Much	The Strokes		Room On Fire		Indie-Rock	3722336	186			5		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:05YouTalkWayTooMuch.mp3	242
Between Love & Hate	The Strokes		Room On Fire		Indie-Rock	3939672	196			6		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:06BetweenLoveHate.mp3	242
Meet Me In The Bathroom	The Strokes		Room On Fire		Indie-Rock	3567170	178			7		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:07MeetMeInTheBathroom.mp3	242
Under Control	The Strokes		Room On Fire		Indie-Rock	3739046	186			8		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:08UnderControl.mp3	242
The End Has No End	The Strokes		Room On Fire		Indie-Rock	3767263	188			9		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:09TheEndHasNoEnd.mp3	242
The Way It Is	The Strokes		Room On Fire		Indie-Rock	2883797	144			10		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:10TheWayItIs.mp3	242
I Can't Win	The Strokes		Room On Fire		Indie-Rock	3583877	179			11		2003	11/5/03 8:40 AM	1/23/04 12:34 PM	160	44100		MPEG audio file						MP3Vol242:The Strokes:Room On Fire:11ICantWin.mp3	242
Soldier Girl (2002 Album Versi	The Polyphonic Spree		Soldier Girl EP			4449989	185			1	5	2002	11/5/03 8:49 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		NuHS				MP3Vol242:The Polyphonic Spree:Soldier Girl EP:01SoldierGirl2002AlbumVersi.mp3	242
Sun (Section 2 form The Forthc	The Polyphonic Spree		Soldier Girl EP			8049906	335			2	5	2002	11/5/03 8:49 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		NuHS				MP3Vol242:The Polyphonic Spree:Soldier Girl EP:02SunSection2formTheForthc.mp3	242
Soldier Girl (String Version)	The Polyphonic Spree		Soldier Girl EP			4443679	185			3	5	2002	11/5/03 8:49 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		NuHS				MP3Vol242:The Polyphonic Spree:Soldier Girl EP:03SoldierGirlStringVersion.mp3	242
Soldier Girl (Radio Edit)	The Polyphonic Spree		Soldier Girl EP			3433680	143			4	5	2002	11/5/03 8:49 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		NuHS				MP3Vol242:The Polyphonic Spree:Soldier Girl EP:04SoldierGirlRadioEdit.mp3	242
Soldier Girl (Section 8 form T	The Polyphonic Spree		Soldier Girl EP			5660651	235			5	5	2002	11/5/03 8:49 AM	1/23/04 12:34 PM	192	44100		MPEG audio file		NuHS				MP3Vol242:The Polyphonic Spree:Soldier Girl EP:05SoldierGirlSection8formT.mp3	242
Have a Day/Celebratory	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	4804443	278			1			11/4/03 9:59 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:01 - The Polyphonic Spree - Have A Day_Celebratory.mp3	242
It's the Sun	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	5688427	333			2			11/4/03 10:04 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:02 - The Polyphonic Spree - It's The Sun.mp3	242
Days Like This Keep Me Warm	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	4285756	245			3			11/4/03 10:08 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:03 - The Polyphonic Spree - Days Like This Keep Me Warm.mp3	242
La La	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	2436704	130			4			11/4/03 10:10 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:04 - The Polyphonic Spree - La La.mp3	242
Middle Of The day	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	3018503	166			5			11/4/03 10:13 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:05 - The Polyphonic Spree - Middle Of The Day.mp3	242
Hanging Around The day Part 1	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	2883085	158			6			11/4/03 10:15 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:06 - The Polyphonic Spree - Hanging Around The Day Part 1.mp3	242
