Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	323
Feather By Feather	Smog		Supper		Alternative & Punk	8077154	336			1	9	2003	10/4/04 1:09 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:01 Feather By Feather.mp3	323
Butterflies Drowned In Wine	Smog		Supper		Alternative & Punk	6673447	277			2	9	2003	10/4/04 1:11 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:02 Butterflies Drowned In Wine.mp3	323
Morality	Smog		Supper		Alternative & Punk	4003923	166			3	9	2003	10/4/04 1:12 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:03 Morality.mp3	323
Ambition	Smog		Supper		Alternative & Punk	6432684	267			4	9	2003	10/4/04 1:14 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:04 Ambition.mp3	323
Vessel In Vain	Smog		Supper		Alternative & Punk	6242100	259			5	9	2003	10/4/04 1:16 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:05 Vessel In Vain.mp3	323
Truth Serum	Smog		Supper		Alternative & Punk	10776118	448			6	9	2003	10/4/04 1:19 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:06 Truth Serum.mp3	323
Our Anniversary	Smog		Supper		Alternative & Punk	9052041	377			7	9	2003	10/4/04 1:20 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:07 Our Anniversary.mp3	323
Driving	Smog		Supper		Alternative & Punk	5997587	249			8	9	2003	10/4/04 1:21 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:08 Driving.mp3	323
A Guiding Light	Smog		Supper		Alternative & Punk	5521122	229			9	9	2003	10/4/04 1:23 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Smog:Supper:09 A Guiding Light.mp3	323
Building Skyscrapers In The Basement	Ted Leo/Pharmacists		Hearts Of Oak		Rock	1969758	98			1	13		10/6/04 4:51 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:01 Building Skyscrapers In The Basement.mp3	323
Where Have All The Rude Boys Gone	Ted Leo/Pharmacists		Hearts Of Oak		Rock	6046424	302			2	13		10/6/04 4:52 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:02 Where Have All The Rude Boys Gone.mp3	323
I'm A Ghost	Ted Leo/Pharmacists		Hearts Of Oak		Rock	5360427	267			3	13		10/6/04 4:53 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:03 I'm A Ghost.mp3	323
The High Party	Ted Leo/Pharmacists		Hearts Of Oak		Rock	5881311	293			4	13		10/6/04 4:55 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:04 The High Party.mp3	323
Hearts Of Oak	Ted Leo/Pharmacists		Hearts Of Oak		Rock	6771041	338			5	13		10/6/04 4:56 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:05 Hearts Of Oak.mp3	323
The Ballad Of The Sin Eater	Ted Leo/Pharmacists		Hearts Of Oak		Rock	6411088	320			6	13		10/6/04 4:57 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:06 The Ballad Of The Sin Eater.mp3	323
Dead Voices	Ted Leo/Pharmacists		Hearts Of Oak		Rock	4467561	223			7	13		10/6/04 4:58 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:07 Dead Voices.mp3	323
The Anointed One	Ted Leo/Pharmacists		Hearts Of Oak		Rock	4968072	248			8	13		10/6/04 4:59 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:08 The Anointed One.mp3	323
Bridges, Squares	Ted Leo/Pharmacists		Hearts Of Oak		Rock	5742342	287			9	13		10/6/04 5:00 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:09 Bridges, Squares.mp3	323
Tell Balgeary, Balgury is Dead	Ted Leo/Pharmacists		Hearts Of Oak		Rock	4987924	249			10	13		10/6/04 5:01 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:10 Tell Balgeary, Balgury is Dead.mp3	323
2nd Ave, 11AM	Ted Leo/Pharmacists		Hearts Of Oak		Rock	4252332	212			11	13		10/6/04 5:01 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:11 2nd Ave, 11AM.mp3	323
First To Finish, Last To Start	Ted Leo/Pharmacists		Hearts Of Oak		Rock	2287916	114			12	13		10/6/04 5:02 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:12 First To Finish, Last To Start.mp3	323
The Crane Takes Flight	Ted Leo/Pharmacists		Hearts Of Oak		Rock	6572506	328			13	13		10/6/04 5:03 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Hearts Of Oak:13 The Crane Takes Flight.mp3	323
Biomusicology	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	5166145	258			1	12		10/6/04 5:03 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:01 Biomusicology.mp3	323
Under the Hedge	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	4006310	200			3	12		10/6/04 5:04 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:03 Under the Hedge.mp3	323
Dial Up	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	4898645	244			4	12		10/6/04 5:05 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:04 Dial Up.mp3	323
Timorous Me	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	5486404	274			5	12		10/6/04 5:06 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:05 Timorous Me.mp3	323
Stove By A Whale	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	9590768	479			6	12		10/6/04 5:07 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:06 Stove By A Whale.mp3	323
The Great Communicator	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	3922727	196			7	12		10/6/04 5:08 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:07 The Great Communicator.mp3	323
My Vien Ilin	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	3268088	163			9	12		10/6/04 5:08 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:09 My Vien Ilin.mp3	323
The Gold Finch and the Red Oak Tree	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	2292700	114			10	12		10/6/04 5:09 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:10 The Gold Finch and the Red Oak Tree.mp3	323
St. John the Divine	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	7994692	399			11	12		10/6/04 5:10 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:11 St. John the Divine.mp3	323
You Could Die (Or This Might End)	Ted Leo/Pharmacists		The Tyranny of Distance		Rock	1817792	90			12	12		10/6/04 5:10 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:The Tyranny of Distance:12 You Could Die (Or This Might End).mp3	323
Abner Louima v. Gov. Pete Wilson	Ted Leo/Pharmacists		Treble in Trouble		Rock	4162230	173			1	5		10/6/04 5:18 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Treble in Trouble:01 Abner Louima v. Gov. Pete Wilson.mp3	323
Come Baby Come	Ted Leo/Pharmacists		Treble in Trouble		Rock	5293837	220			2	5		10/6/04 5:19 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Treble in Trouble:02 Come Baby Come.mp3	323
The 11th	Ted Leo/Pharmacists		Treble in Trouble		Rock	6189726	257			3	5		10/6/04 5:20 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Treble in Trouble:03 The 11th.mp3	323
Treble in Trouble	Ted Leo/Pharmacists		Treble in Trouble		Rock	3105823	129			4	5		10/6/04 5:20 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Treble in Trouble:04 Treble in Trouble.mp3	323
Little Girl in Bloom	Ted Leo/Pharmacists		Treble in Trouble		Rock	8862378	369			5	5		10/6/04 5:22 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:Ted Leo_Pharmacists:Treble in Trouble:05 Little Girl in Bloom.mp3	323
01 JAR	The Chimpunks					3047552	152						10/15/04 4:48 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 01 JAR.mp3	323
02 All I Want	The Chimpunks					2035840	101						10/15/04 4:53 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 02 All I Want.mp3	323
03 Your Gravest Words	The Chimpunks					4841600	241						10/15/04 5:03 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 03 Your Gravest Words.mp3	323
04 Disconnected	The Chimpunks					3842176	191						10/15/04 5:09 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 04 Disconnected.mp3	323
05 Coolidge	The Chimpunks					2519168	125						10/15/04 5:14 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 05 Coolidge.mp3	323
06 40 Oz to Freedom	The Chimpunks					4620416	231						10/15/04 5:25 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 06 40 Oz to Freedom.mp3	323
07 DI (Fiesta Mix)	The Chimpunks					2642048	131						10/15/04 5:31 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 07 DI (Fiesta Mix).mp3	323
08 Enough	The Chimpunks					3006592	150						10/15/04 5:38 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 08 Enough.mp3	323
09 Voices Off Camera	The Chimpunks					2535424	126						10/15/04 5:43 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 09 Voices Off Camera.mp3	323
10 2RAK005	The Chimpunks					2326656	116						10/15/04 5:48 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 10 2RAK005.mp3	323
11 Generator	The Chimpunks					3686528	184						10/15/04 5:57 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 11 Generator.mp3	323
12 Even Hitler Had A Girlfriend	The Chimpunks					1896576	94						10/15/04 6:02 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 12 Even Hitler Had A Girlfriend.mp3	323
13 Basket Rain	The Chimpunks					3047552	152						10/15/04 6:10 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 13 Basket Rain.mp3	323
14 Alkaline Quartet Medley	The Chimpunks					7499904	374						10/15/04 10:39 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 14 Alkaline Quartet Medley.mp3	323
15 Swing Life Away	The Chimpunks					2494592	124						10/15/04 10:43 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 15 Swing Life Away.mp3	323
