Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	366
i thought there'd be more than this	Cursive		The Difference Between			3202148	160			12	12		7/19/05 9:44 AM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Cursive:The Difference Between H_1B1704:12 i thought there_d be more than this.mp3	366
down town soulville	dante carfagne	Josef Hader	down town soulville		Soul/funk	90945963	3789	1	2	1	1	1993	7/18/05 8:42 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:dante carfagne:down town soulville:1-01 down town soulville.mp3	366
Tiny Town	Dead Milkmen		Big Lizard in my Backyard		Punk	1690050	105			1			6/20/05 1:53 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 01 - Tiny Town.mp3	366
Beach Song	Dead Milkmen		Big Lizard in my Backyard		Punk	1864914	116			2			6/20/05 1:54 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 02 - Beach Song.mp3	366
Labor Day	Dead Milkmen		Big Lizard in my Backyard		Punk	4679745	146			3			6/20/05 1:56 PM	7/19/05 11:46 AM	256	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 03 - Labor Day.mp3	366
Swordfish	Dead Milkmen		Big Lizard in my Backyard		Punk	3650016	91			4			6/20/05 1:57 PM	7/19/05 11:46 AM	320	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 04 - Swordfish.mp3	366
V.F.W.	Dead Milkmen		Big Lizard in my Backyard		Punk	4370993	109			5			6/20/05 1:59 PM	7/19/05 11:46 AM	320	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 05 - V.F.W..mp3	366
Rastabilly	Dead Milkmen		Big Lizard in my Backyard		Punk	1100601	68			6			6/20/05 1:59 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 06 - Rastabilly.mp3	366
Serrated Edge	Dead Milkmen		Big Lizard in my Backyard		Punk	1920345	119			7			6/20/05 2:00 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 07 - Serrated Edge.mp3	366
Lucky	Dead Milkmen		Big Lizard in my Backyard		Punk	2074306	129			8			6/20/05 2:01 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 08 - Lucky.mp3	366
