Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	284
The Running Kind (with Tom Pe	Johnny Cash		Unearthed Volume Two: Trouble		Country	3066148	191					9999	6/22/04 12:08 AM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:08 - The Running Kind (with Tom Petty).mp3	284
Everybody's Trying To Be My B	Johnny Cash		Unearthed Volume Two: Trouble		Country	2105260	131					9999	6/22/04 12:07 AM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:09 - Everybody's Trying To Be My Baby.mp3	284
Brown-Eyed Handsome Man (with	Johnny Cash		Unearthed Volume Two: Trouble		Country	2260741	141					9999	6/22/04 12:13 AM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:10 - Brown-Eyed Handsome Man (with Carl Perkins).mp3	284
-T- For Texas	Johnny Cash		Unearthed Volume Two: Trouble		Country	3497482	218					9999	6/22/04 12:19 AM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:11 - -T- For Texas.mp3	284
Devil's Right Hand	Johnny Cash		Unearthed Volume Two: Trouble		Country	2453047	153					9999	6/22/04 12:17 AM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:12 - Devil's Right Hand.mp3	284
I'm A Drifter (Version 2)	Johnny Cash		Unearthed Volume Two: Trouble		Country	3604062	225					9999	6/22/04 12:23 AM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:13 - I'm A Drifter (Version 2).mp3	284
Like A Soldier (with Willie N	Johnny Cash		Unearthed Volume Two: Trouble		Country	2807849	175					9999	6/22/04 12:25 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:14 - Like A Soldier (with Willie Nelson).mp3	284
Drive On (Alternate Lyrics)	Johnny Cash		Unearthed Volume Two: Trouble		Country	2303373	143					9999	6/22/04 12:27 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:15 - Drive On (Alternate Lyrics).mp3	284
Bird On A Wire (Live With Orc	Johnny Cash		Unearthed Volume Two: Trouble		Country	4990014	311					9999	6/22/04 12:40 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 2 - Trouble In Mind:16 - Bird On A Wire (Live With Orchestra).mp3	284
A Singer of Songs - Johnny Ca	Johnny Cash		Unearthed - Redemption Songs 		Country	2702106	168					9999	6/22/04 12:34 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:01 - A Singer of Songs - Johnny Cash.mp3	284
The L & N Don't Stop Here Any	Johnny Cash		Unearthed - Redemption Songs 		Country	3096241	193					9999	6/22/04 12:38 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:02 - The L & N Don't Stop Here Anymore - Johnny Cash.mp3	284
Redemption Song (with Joe Str	Johnny Cash		Unearthed - Redemption Songs 		Country	3324029	207					9999	6/22/04 12:41 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:03 - Redemption Song (with Joe Strummer) - Johnny Cash.mp3	284
Father and Son (with Fiona Ap	Johnny Cash		Unearthed - Redemption Songs 		Country	2715520	169					9999	6/22/04 12:45 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:04 - Father and Son (with Fiona Apple) - Johnny Cash.mp3	284
Chattanooga Sugar Babe - John	Johnny Cash		Unearthed - Redemption Songs 		Country	3151412	196					9999	6/22/04 12:52 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:05 - Chattanooga Sugar Babe - Johnny Cash.mp3	284
He Stopped Loving Her Today -	Johnny Cash		Unearthed - Redemption Songs 		Country	2513227	157					9999	6/22/04 12:51 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:06 - He Stopped Loving Her Today - Johnny Cash.mp3	284
Hard Times - Johnny Cash	Johnny Cash		Unearthed - Redemption Songs 		Country	3865286	241					9999	6/22/04 12:57 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:07 - Hard Times - Johnny Cash.mp3	284
Wichita Lineman - Johnny Cash	Johnny Cash		Unearthed - Redemption Songs 		Country	2934491	183					9999	6/22/04 12:58 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:08 - Wichita Lineman - Johnny Cash.mp3	284
Cindy (with Nick Cave) - John	Johnny Cash		Unearthed - Redemption Songs 		Country	2768561	173					9999	6/22/04 1:02 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:09 - Cindy (with Nick Cave) - Johnny Cash.mp3	284
Big Iron - Johnny Cash	Johnny Cash		Unearthed - Redemption Songs 		Country	3719836	232					9999	6/22/04 1:07 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:10 - Big Iron - Johnny Cash.mp3	284
Salty Dog - Johnny Cash	Johnny Cash		Unearthed - Redemption Songs 		Country	2337227	146					9999	6/22/04 1:07 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:11 - Salty Dog - Johnny Cash.mp3	284
